corr_type,instance_file,obj_value,runtime
correlated,id_5_objs_1000_size_1550_sets_84_maxNumConflicts_20_maxCost_20_correlated.txt,4445.0,8.20
correlated,id_5_objs_300_size_465_sets_75_maxNumConflicts_6_maxCost_20_correlated.txt,1290.0,0.07
correlated,id_5_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,2294.0,0.45
correlated,id_5_objs_700_size_1085_sets_80_maxNumConflicts_14_maxCost_20_correlated.txt,2992.0,2.11
correlated,id_5_objs_800_size_1240_sets_91_maxNumConflicts_16_maxCost_20_correlated.txt,3332.0,3.12
correlated,id_6_objs_1000_size_1550_sets_91_maxNumConflicts_20_maxCost_19_correlated.txt,4412.0,7.96
correlated,id_6_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,1259.0,0.08
correlated,id_6_objs_500_size_775_sets_87_maxNumConflicts_10_maxCost_20_correlated.txt,2113.0,0.49
correlated,id_6_objs_700_size_1085_sets_92_maxNumConflicts_14_maxCost_20_correlated.txt,3001.0,1.97
correlated,id_6_objs_800_size_1240_sets_87_maxNumConflicts_16_maxCost_20_correlated.txt,3486.0,3.29
correlated,id_7_objs_1000_size_1550_sets_96_maxNumConflicts_20_maxCost_20_correlated.txt,4393.0,6.49
correlated,id_7_objs_300_size_465_sets_78_maxNumConflicts_6_maxCost_20_correlated.txt,1320.0,0.06
correlated,id_7_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,2159.0,0.40
correlated,id_7_objs_700_size_1085_sets_88_maxNumConflicts_14_maxCost_20_correlated.txt,3142.0,1.92
correlated,id_7_objs_800_size_1240_sets_86_maxNumConflicts_16_maxCost_20_correlated.txt,3540.0,3.45
correlated,id_8_objs_1000_size_1550_sets_93_maxNumConflicts_20_maxCost_20_correlated.txt,4374.0,7.55
correlated,id_8_objs_300_size_465_sets_76_maxNumConflicts_6_maxCost_20_correlated.txt,1361.0,0.07
correlated,id_8_objs_500_size_775_sets_83_maxNumConflicts_10_maxCost_20_correlated.txt,2281.0,0.48
correlated,id_8_objs_700_size_1085_sets_88_maxNumConflicts_14_maxCost_20_correlated.txt,2931.0,1.91
correlated,id_8_objs_800_size_1240_sets_81_maxNumConflicts_16_maxCost_20_correlated.txt,3504.0,4.00
correlated,id_9_objs_1000_size_1550_sets_85_maxNumConflicts_20_maxCost_20_correlated.txt,4300.0,9.17
correlated,id_9_objs_300_size_465_sets_74_maxNumConflicts_6_maxCost_20_correlated.txt,1253.0,0.13
correlated,id_9_objs_500_size_775_sets_82_maxNumConflicts_10_maxCost_20_correlated.txt,2081.0,0.65
correlated,id_9_objs_700_size_1085_sets_90_maxNumConflicts_14_maxCost_20_correlated.txt,3125.0,2.17
